observationID,deploymentID,sequenceID,mediaID,timeStamp,observationType,cameraSetup,taxonID,scientificName,count,countNew,lifeStage,sex,behaviour,individualID,classificationMethod,classifiedBy
year_camLoc_camID_tripNum_img_00010_obs1,CAMID_CAMLOC,seq1,,2022-11-22T06:00:24.035091,Empty,False,,,,,,,,,custom_train_efficientnet_lite3,efficientnet_lite3
year_camLoc_camID_tripNum_img_00013_obs1,CAMID_CAMLOC,seq1,,2022-11-22T06:00:24.035091,Empty,False,,,,,,,,,custom_train_efficientnet_lite3,efficientnet_lite3
year_camLoc_camID_tripNum_img_00015_obs1,CAMID_CAMLOC,seq1,,2022-11-22T06:00:24.035091,Empty,False,,,,,,,,,custom_train_efficientnet_lite3,efficientnet_lite3
year_camLoc_camID_tripNum_img_00022_obs1,CAMID_CAMLOC,seq1,,2022-11-22T06:00:24.035091,Empty,False,,,,,,,,,custom_train_efficientnet_lite3,efficientnet_lite3
year_camLoc_camID_tripNum_img_00027_obs1,CAMID_CAMLOC,seq1,,2022-11-22T06:00:24.035091,Empty,False,,,,,,,,,custom_train_efficientnet_lite3,efficientnet_lite3
year_camLoc_camID_tripNum_img_00033_obs1,CAMID_CAMLOC,seq1,,2022-11-22T06:00:24.035091,Empty,False,,,,,,,,,custom_train_efficientnet_lite3,efficientnet_lite3
year_camLoc_camID_tripNum_img_00034_obs1,CAMID_CAMLOC,seq1,,2022-11-22T06:00:24.035091,Empty,False,,,,,,,,,custom_train_efficientnet_lite3,efficientnet_lite3
year_camLoc_camID_tripNum_img_00037_obs1,CAMID_CAMLOC,seq1,,2022-11-22T06:00:24.035091,Empty,False,,,,,,,,,custom_train_efficientnet_lite3,efficientnet_lite3
year_camLoc_camID_tripNum_img_00039_obs1,CAMID_CAMLOC,seq1,,2022-11-22T06:00:24.035091,Empty,False,,,,,,,,,custom_train_efficientnet_lite3,efficientnet_lite3
year_camLoc_camID_tripNum_img_00047_obs1,CAMID_CAMLOC,seq1,,2022-11-22T06:00:24.035091,Empty,False,,,,,,,,,custom_train_efficientnet_lite3,efficientnet_lite3
year_camLoc_camID_tripNum_img_00051_obs1,CAMID_CAMLOC,seq1,,2022-11-22T06:00:24.035091,Empty,False,,,,,,,,,custom_train_efficientnet_lite3,efficientnet_lite3
year_camLoc_camID_tripNum_img_00054_obs1,CAMID_CAMLOC,seq1,,2022-11-22T06:00:24.035091,Empty,False,,,,,,,,,custom_train_efficientnet_lite3,efficientnet_lite3
year_camLoc_camID_tripNum_img_00057_obs1,CAMID_CAMLOC,seq1,,2022-11-22T06:00:24.035091,Empty,False,,,,,,,,,custom_train_efficientnet_lite3,efficientnet_lite3
year_camLoc_camID_tripNum_img_00058_obs1,CAMID_CAMLOC,seq1,,2022-11-22T06:00:24.035091,Empty,False,,,,,,,,,custom_train_efficientnet_lite3,efficientnet_lite3
year_camLoc_camID_tripNum_img_00069_obs1,CAMID_CAMLOC,seq1,,2022-11-22T06:00:24.035091,Empty,False,,,,,,,,,custom_train_efficientnet_lite3,efficientnet_lite3
year_camLoc_camID_tripNum_img_00070_obs1,CAMID_CAMLOC,seq1,,2022-11-22T06:00:24.035091,Empty,False,,,,,,,,,custom_train_efficientnet_lite3,efficientnet_lite3
year_camLoc_camID_tripNum_img_00076_obs1,CAMID_CAMLOC,seq1,,2022-11-22T06:00:24.035091,Empty,False,,,,,,,,,custom_train_efficientnet_lite3,efficientnet_lite3
year_camLoc_camID_tripNum_img_00077_obs1,CAMID_CAMLOC,seq1,,2022-11-22T06:00:24.035091,Empty,False,,,,,,,,,custom_train_efficientnet_lite3,efficientnet_lite3
year_camLoc_camID_tripNum_img_00082_obs1,CAMID_CAMLOC,seq1,,2022-11-22T06:00:24.035091,Empty,False,,,,,,,,,custom_train_efficientnet_lite3,efficientnet_lite3
year_camLoc_camID_tripNum_img_00087_obs1,CAMID_CAMLOC,seq1,,2022-11-22T06:00:24.035091,Empty,False,,,,,,,,,custom_train_efficientnet_lite3,efficientnet_lite3
year_camLoc_camID_tripNum_img_00004_obs1,CAMID_CAMLOC,seq1,,2022-11-22T06:00:24.035091,Empty,False,,,,,,,,,custom_train_efficientnet_lite3,efficientnet_lite3
year_camLoc_camID_tripNum_img_00016_obs1,CAMID_CAMLOC,seq1,,2022-11-22T06:00:24.035091,Empty,False,,,,,,,,,custom_train_efficientnet_lite3,efficientnet_lite3
year_camLoc_camID_tripNum_img_00017_obs1,CAMID_CAMLOC,seq1,,2022-11-22T06:00:24.035091,Empty,False,,,,,,,,,custom_train_efficientnet_lite3,efficientnet_lite3
year_camLoc_camID_tripNum_img_00091_obs1,CAMID_CAMLOC,seq1,,2022-11-22T06:00:24.035091,Empty,False,,,,,,,,,custom_train_efficientnet_lite3,efficientnet_lite3
year_camLoc_camID_tripNum_img_00096_obs1,CAMID_CAMLOC,seq1,,2022-11-22T06:00:24.035091,Empty,False,,,,,,,,,custom_train_efficientnet_lite3,efficientnet_lite3
year_camLoc_camID_tripNum_img_00098_obs1,CAMID_CAMLOC,seq1,,2022-11-22T06:00:24.035091,Empty,False,,,,,,,,,custom_train_efficientnet_lite3,efficientnet_lite3
year_camLoc_camID_tripNum_img_00094_obs1,CAMID_CAMLOC,seq1,,2022-11-22T06:00:24.035091,Empty,False,,,,,,,,,custom_train_efficientnet_lite3,efficientnet_lite3
year_camLoc_camID_tripNum_img_00095_obs1,CAMID_CAMLOC,seq1,,2022-11-22T06:00:24.035091,Empty,False,,,,,,,,,custom_train_efficientnet_lite3,efficientnet_lite3
year_camLoc_camID_tripNum_img_00089_obs1,CAMID_CAMLOC,seq1,,2022-11-22T06:00:24.035091,Empty,False,,,,,,,,,custom_train_efficientnet_lite3,efficientnet_lite3
year_camLoc_camID_tripNum_img_00090_obs1,CAMID_CAMLOC,seq1,,2022-11-22T06:00:24.035091,Empty,False,,,,,,,,,custom_train_efficientnet_lite3,efficientnet_lite3
year_camLoc_camID_tripNum_img_00097_obs1,CAMID_CAMLOC,seq1,,2022-11-22T06:00:24.035091,Empty,False,,,,,,,,,custom_train_efficientnet_lite3,efficientnet_lite3
year_camLoc_camID_tripNum_img_00099_obs1,CAMID_CAMLOC,seq1,,2022-11-22T06:00:24.035091,Empty,False,,,,,,,,,custom_train_efficientnet_lite3,efficientnet_lite3
year_camLoc_camID_tripNum_img_00100_obs1,CAMID_CAMLOC,seq1,,2022-11-22T06:00:24.035091,Empty,False,,,,,,,,,custom_train_efficientnet_lite3,efficientnet_lite3
year_camLoc_camID_tripNum_img_00101_obs1,CAMID_CAMLOC,seq1,,2022-11-22T06:00:24.035091,Empty,False,,,,,,,,,custom_train_efficientnet_lite3,efficientnet_lite3
year_camLoc_camID_tripNum_img_00092_obs1,CAMID_CAMLOC,seq1,,2022-11-22T06:00:24.035091,Empty,False,,,,,,,,,custom_train_efficientnet_lite3,efficientnet_lite3
year_camLoc_camID_tripNum_img_00093_obs1,CAMID_CAMLOC,seq1,,2022-11-22T06:00:24.035091,Empty,False,,,,,,,,,custom_train_efficientnet_lite3,efficientnet_lite3
